"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"2","0.000074","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"3","0.000104","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"4","0.000131","192.168.0.183","104.17.64.70","UDP","970","60492  >  443 Len=928"
"5","0.000174","192.168.0.183","104.17.64.70","UDP","600","60492  >  443 Len=558"
"6","0.013469","104.17.64.70","192.168.0.183","UDP","65","443  >  60492 Len=23"
"7","0.046800","104.17.64.70","192.168.0.183","UDP","503","443  >  60492 Len=461"
"8","0.086352","192.168.0.183","104.17.64.70","UDP","86","60492  >  443 Len=44"
"9","0.098586","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"10","0.098663","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"11","0.098695","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"12","0.098742","192.168.0.183","104.17.64.70","UDP","1115","60492  >  443 Len=1073"
"13","0.098785","192.168.0.183","104.17.64.70","UDP","600","60492  >  443 Len=558"
"14","0.111250","104.17.64.70","192.168.0.183","UDP","65","443  >  60492 Len=23"
"15","0.111250","104.17.64.70","192.168.0.183","UDP","65","443  >  60492 Len=23"
"16","0.117658","104.17.64.70","192.168.0.183","UDP","65","443  >  60492 Len=23"
"17","0.164285","104.17.64.70","192.168.0.183","UDP","290","443  >  60492 Len=248"
"18","0.192714","192.168.0.183","104.17.64.70","UDP","86","60492  >  443 Len=44"
"19","0.723414","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"20","0.723521","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"21","0.723555","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"22","0.723583","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"23","0.723613","192.168.0.183","104.17.64.70","UDP","89","60492  >  443 Len=47"
