"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.17.64.70","QUIC","1292","Initial, DCID=459eb4d5f0444808, PKN: 1, CRYPTO"
"2","0.000157","192.168.0.183","104.17.64.70","QUIC","1292","Initial, DCID=459eb4d5f0444808, PKN: 2, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, PING, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING"
"3","0.000419","192.168.0.183","104.17.64.70","QUIC","124","0-RTT, DCID=459eb4d5f0444808"
"4","0.018143","104.17.64.70","192.168.0.183","QUIC","1242","Initial, SCID=01ddd9afd5dcfcda0bdd7aafcbdcf860b69631f6, PKN: 0, ACK"
"5","0.018143","104.17.64.70","192.168.0.183","QUIC","1242","Initial, SCID=01ddd9afd5dcfcda0bdd7aafcbdcf860b69631f6, PKN: 1, ACK"
"6","0.018143","104.17.64.70","192.168.0.183","QUIC","1242","Initial, SCID=01ddd9afd5dcfcda0bdd7aafcbdcf860b69631f6, PKN: 2, CRYPTO"
"7","0.018143","104.17.64.70","192.168.0.183","QUIC","1242","Handshake, SCID=01ddd9afd5dcfcda0bdd7aafcbdcf860b69631f6"
"8","0.018752","192.168.0.183","104.17.64.70","QUIC","1292","Handshake, DCID=01ddd9afd5dcfcda0bdd7aafcbdcf860b69631f6"
"9","0.033445","104.17.64.70","192.168.0.183","QUIC","90","Protected Payload (KP0)"
"10","0.033445","104.17.64.70","192.168.0.183","QUIC","66","Protected Payload (KP0)"
"11","0.033445","104.17.64.70","192.168.0.183","QUIC","66","Protected Payload (KP0)"
"12","0.033445","104.17.64.70","192.168.0.183","QUIC","91","Protected Payload (KP0)"
"13","0.033677","192.168.0.183","104.17.64.70","QUIC","85","Protected Payload (KP0), DCID=01ddd9afd5dcfcda0bdd7aafcbdcf860b69631f6"
"14","0.033756","192.168.0.183","104.17.64.70","QUIC","85","Protected Payload (KP0), DCID=01ddd9afd5dcfcda0bdd7aafcbdcf860b69631f6"
"15","0.033802","192.168.0.183","104.17.64.70","QUIC","89","Protected Payload (KP0), DCID=01ddd9afd5dcfcda0bdd7aafcbdcf860b69631f6"
"16","0.049592","104.17.64.70","192.168.0.183","QUIC","70","Protected Payload (KP0)"
