"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"2","0.000110","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"3","0.000141","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"4","0.000167","192.168.0.183","104.17.64.70","UDP","1088","60492  >  443 Len=1046"
"5","0.000213","192.168.0.183","104.17.64.70","UDP","575","60492  >  443 Len=533"
"6","0.013468","104.17.64.70","192.168.0.183","UDP","67","443  >  60492 Len=25"
"7","0.019639","104.17.64.70","192.168.0.183","UDP","67","443  >  60492 Len=25"
"8","0.036003","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"9","0.036189","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"10","0.036257","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"11","0.036303","192.168.0.183","104.17.64.70","UDP","1088","60492  >  443 Len=1046"
"12","0.036349","192.168.0.183","104.17.64.70","UDP","574","60492  >  443 Len=532"
"13","0.048540","104.17.64.70","192.168.0.183","UDP","510","443  >  60492 Len=468"
"14","0.052070","192.168.0.183","104.17.64.70","UDP","87","60492  >  443 Len=45"
"15","0.056301","104.17.64.70","192.168.0.183","UDP","67","443  >  60492 Len=25"
"16","0.064919","104.17.64.70","192.168.0.183","UDP","65","443  >  60492 Len=23"
"17","0.081948","192.168.0.183","104.17.64.70","UDP","87","60492  >  443 Len=45"
"18","0.085211","104.17.64.70","192.168.0.183","UDP","506","443  >  60492 Len=464"
"19","0.085790","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"20","0.085860","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"21","0.085925","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"22","0.085954","192.168.0.183","104.17.64.70","UDP","1238","60492  >  443 Len=1196"
"23","0.085996","192.168.0.183","104.17.64.70","UDP","574","60492  >  443 Len=532"
"24","0.101655","104.17.64.70","192.168.0.183","UDP","70","443  >  60492 Len=28"
"25","0.111724","192.168.0.183","104.17.64.70","UDP","87","60492  >  443 Len=45"
"26","0.129679","104.17.64.70","192.168.0.183","UDP","292","443  >  60492 Len=250"
"27","0.142564","192.168.0.183","104.17.64.70","UDP","87","60492  >  443 Len=45"
"28","0.155189","104.17.64.70","192.168.0.183","UDP","65","443  >  60492 Len=23"
"29","0.158554","192.168.0.183","104.17.64.70","UDP","87","60492  >  443 Len=45"
