"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"2","0.000207","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"3","0.000262","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"4","0.000303","192.168.0.183","104.17.64.70","UDP","1207","60492  >  443 Len=1165"
"5","0.000381","192.168.0.183","104.17.64.70","UDP","526","60492  >  443 Len=484"
"6","0.015073","104.17.64.70","192.168.0.183","UDP","67","443  >  60492 Len=25"
"7","0.051568","104.17.64.70","192.168.0.183","UDP","292","443  >  60492 Len=250"
"8","0.057804","192.168.0.183","104.17.64.70","UDP","88","60492  >  443 Len=46"
"9","0.072943","104.17.64.70","192.168.0.183","UDP","65","443  >  60492 Len=23"
"10","0.089828","192.168.0.183","104.17.64.70","UDP","88","60492  >  443 Len=46"
"11","0.670517","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"12","0.670603","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"13","0.670635","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"14","0.670663","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"15","0.670691","192.168.0.183","104.17.64.70","UDP","97","60492  >  443 Len=55"
"16","0.685742","104.17.64.70","192.168.0.183","UDP","67","443  >  60492 Len=25"
"17","0.690287","104.17.64.70","192.168.0.183","UDP","67","443  >  60492 Len=25"
"18","0.690287","104.17.64.70","192.168.0.183","UDP","68","443  >  60492 Len=26"
"19","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"20","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"21","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"22","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"23","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"24","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"25","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"26","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"27","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"28","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"29","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"30","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"31","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"32","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"33","0.750058","104.17.64.70","192.168.0.183","UDP","774","443  >  60492 Len=732"
"34","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"35","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"36","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"37","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"38","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"39","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"40","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"41","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"42","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"43","0.750058","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"44","0.750058","104.17.64.70","192.168.0.183","UDP","921","443  >  60492 Len=879"
"45","0.750058","104.17.64.70","192.168.0.183","UDP","994","443  >  60492 Len=952"
"46","0.752016","192.168.0.183","104.17.64.70","UDP","87","60492  >  443 Len=45"
"47","0.752245","192.168.0.183","104.17.64.70","UDP","87","60492  >  443 Len=45"
"48","0.754289","192.168.0.183","104.17.64.70","UDP","88","60492  >  443 Len=46"
"49","0.766981","104.17.64.70","192.168.0.183","UDP","65","443  >  60492 Len=23"
"50","0.778517","192.168.0.183","104.17.64.70","UDP","88","60492  >  443 Len=46"
"51","0.851700","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"52","0.851770","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"53","0.851804","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"54","0.851833","192.168.0.183","104.17.64.70","UDP","1273","60492  >  443 Len=1231"
