"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.17.64.70","QUIC","1292","Initial, DCID=c64843cade9a8e6b, PKN: 1, CRYPTO"
"2","0.000054","192.168.0.183","104.17.64.70","QUIC","1292","Initial, DCID=c64843cade9a8e6b, PKN: 2, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, PING, PING, PING, PING, PADDING, CRYPTO, PING, PING, CRYPTO"
"3","0.000189","192.168.0.183","104.17.64.70","QUIC","123","0-RTT, DCID=c64843cade9a8e6b"
"4","0.026776","104.17.64.70","192.168.0.183","QUIC","1242","Initial, SCID=01465df70f7ccf8fea46fef7157cff0507006d42, PKN: 0, ACK"
"5","0.026776","104.17.64.70","192.168.0.183","QUIC","1242","Initial, SCID=01465df70f7ccf8fea46fef7157cff0507006d42, PKN: 1, ACK"
"6","0.026776","104.17.64.70","192.168.0.183","QUIC","1242","Initial, SCID=01465df70f7ccf8fea46fef7157cff0507006d42, PKN: 2, CRYPTO"
"7","0.026776","104.17.64.70","192.168.0.183","QUIC","1242","Handshake, SCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"8","0.027551","192.168.0.183","104.17.64.70","QUIC","1292","Handshake, DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"9","0.042548","104.17.64.70","192.168.0.183","QUIC","90","Protected Payload (KP0)"
"10","0.042548","104.17.64.70","192.168.0.183","QUIC","66","Protected Payload (KP0)"
"11","0.042548","104.17.64.70","192.168.0.183","QUIC","66","Protected Payload (KP0)"
"12","0.042548","104.17.64.70","192.168.0.183","QUIC","91","Protected Payload (KP0)"
"13","0.042785","192.168.0.183","104.17.64.70","QUIC","85","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"14","0.042862","192.168.0.183","104.17.64.70","QUIC","85","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"15","0.042909","192.168.0.183","104.17.64.70","QUIC","89","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"16","0.058180","104.17.64.70","192.168.0.183","QUIC","70","Protected Payload (KP0)"
"17","0.094107","192.168.0.183","104.17.64.70","QUIC","86","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"18","0.118759","192.168.0.183","104.17.64.70","QUIC","1292","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"19","0.118832","192.168.0.183","104.17.64.70","QUIC","1292","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"20","0.118861","192.168.0.183","104.17.64.70","QUIC","1292","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"21","0.118886","192.168.0.183","104.17.64.70","QUIC","1154","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"22","0.118929","192.168.0.183","104.17.64.70","QUIC","1287","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"23","0.118961","192.168.0.183","104.17.64.70","QUIC","536","Protected Payload (KP0), DCID=01465df70f7ccf8fea46fef7157cff0507006d42"
"24","0.140286","104.17.64.70","192.168.0.183","QUIC","65","Protected Payload (KP0)"
