"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.16.25.46","QUIC","1292","Initial, DCID=14d2036e8ab5c717, PKN: 1, CRYPTO"
"2","0.000063","192.168.0.183","104.16.25.46","QUIC","1292","Initial, DCID=14d2036e8ab5c717, PKN: 2, PADDING, PING, PADDING, PING, PADDING, PING, PADDING, PING, PADDING, PING, PING, PING, PADDING, CRYPTO, PING, PING"
"3","0.000206","192.168.0.183","104.16.25.46","QUIC","120","0-RTT, DCID=14d2036e8ab5c717"
"4","0.023097","104.16.25.46","192.168.0.183","QUIC","1242","Initial, SCID=0149da7024dc0778534979703ddc03c64e180705, PKN: 0, ACK"
"5","0.023097","104.16.25.46","192.168.0.183","QUIC","1242","Initial, SCID=0149da7024dc0778534979703ddc03c64e180705, PKN: 1, ACK"
"6","0.023097","104.16.25.46","192.168.0.183","QUIC","1242","Initial, SCID=0149da7024dc0778534979703ddc03c64e180705, PKN: 2, CRYPTO"
"7","0.023097","104.16.25.46","192.168.0.183","QUIC","1242","Handshake, SCID=0149da7024dc0778534979703ddc03c64e180705"
"8","0.023619","192.168.0.183","104.16.25.46","QUIC","1292","Handshake, DCID=0149da7024dc0778534979703ddc03c64e180705"
"9","0.023820","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"10","0.023854","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"11","0.023882","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"12","0.023910","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"13","0.023951","192.168.0.183","104.16.25.46","QUIC","190","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"14","0.023981","192.168.0.183","104.16.25.46","QUIC","1139","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"15","0.024011","192.168.0.183","104.16.25.46","QUIC","195","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"16","0.024041","192.168.0.183","104.16.25.46","QUIC","1139","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"17","0.024075","192.168.0.183","104.16.25.46","QUIC","195","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"18","0.024101","192.168.0.183","104.16.25.46","QUIC","488","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"19","0.042643","104.16.25.46","192.168.0.183","QUIC","90","Protected Payload (KP0)"
"20","0.042643","104.16.25.46","192.168.0.183","QUIC","66","Protected Payload (KP0)"
"21","0.042643","104.16.25.46","192.168.0.183","QUIC","66","Protected Payload (KP0)"
"22","0.042643","104.16.25.46","192.168.0.183","QUIC","91","Protected Payload (KP0)"
"23","0.042918","192.168.0.183","104.16.25.46","QUIC","85","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"24","0.042998","192.168.0.183","104.16.25.46","QUIC","89","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"25","0.046796","104.16.25.46","192.168.0.183","QUIC","65","Protected Payload (KP0)"
"26","0.064715","104.16.25.46","192.168.0.183","QUIC","70","Protected Payload (KP0)"
"27","0.096926","192.168.0.183","104.16.25.46","QUIC","86","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"28","0.198987","104.16.25.46","192.168.0.183","QUIC","521","Protected Payload (KP0)"
"29","0.198987","104.16.25.46","192.168.0.183","QUIC","1242","Protected Payload (KP0)"
"30","0.198987","104.16.25.46","192.168.0.183","QUIC","1242","Protected Payload (KP0)"
"31","0.198987","104.16.25.46","192.168.0.183","QUIC","1242","Protected Payload (KP0)"
"32","0.198987","104.16.25.46","192.168.0.183","QUIC","971","Protected Payload (KP0)"
"33","0.199684","192.168.0.183","104.16.25.46","QUIC","85","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"34","0.199759","192.168.0.183","104.16.25.46","QUIC","85","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"35","0.225125","192.168.0.183","104.16.25.46","QUIC","86","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"36","1.117918","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"37","1.117992","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"38","1.118021","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"39","1.118046","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"40","1.118072","192.168.0.183","104.16.25.46","QUIC","216","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"41","1.118111","192.168.0.183","104.16.25.46","QUIC","1287","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"42","1.118141","192.168.0.183","104.16.25.46","QUIC","894","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"43","1.135053","104.16.25.46","192.168.0.183","QUIC","65","Protected Payload (KP0)"
"44","1.138959","104.16.25.46","192.168.0.183","QUIC","65","Protected Payload (KP0)"
"45","1.301505","104.16.25.46","192.168.0.183","QUIC","361","Protected Payload (KP0)"
"46","1.301505","104.16.25.46","192.168.0.183","QUIC","1076","Protected Payload (KP0)"
"47","1.301780","192.168.0.183","104.16.25.46","QUIC","85","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"48","1.529560","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"49","1.529684","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"50","1.529720","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"51","1.529748","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"52","1.529778","192.168.0.183","104.16.25.46","QUIC","211","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"53","1.529846","192.168.0.183","104.16.25.46","QUIC","1287","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"54","1.529877","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"55","1.529906","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"56","1.529934","192.168.0.183","104.16.25.46","QUIC","855","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"57","1.543127","104.16.25.46","192.168.0.183","QUIC","65","Protected Payload (KP0)"
"58","1.546859","104.16.25.46","192.168.0.183","QUIC","65","Protected Payload (KP0)"
"59","1.549368","104.16.25.46","192.168.0.183","QUIC","65","Protected Payload (KP0)"
"60","1.690990","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"61","1.691068","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"62","1.691098","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"63","1.691124","192.168.0.183","104.16.25.46","QUIC","1292","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"64","1.691152","192.168.0.183","104.16.25.46","QUIC","173","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"65","1.691192","192.168.0.183","104.16.25.46","QUIC","1287","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"66","1.691223","192.168.0.183","104.16.25.46","QUIC","996","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"67","1.708717","104.16.25.46","192.168.0.183","QUIC","1242","Protected Payload (KP0)"
"68","1.708717","104.16.25.46","192.168.0.183","QUIC","1242","Protected Payload (KP0)"
"69","1.708717","104.16.25.46","192.168.0.183","QUIC","1242","Protected Payload (KP0)"
"70","1.708717","104.16.25.46","192.168.0.183","QUIC","876","Protected Payload (KP0)"
"71","1.708717","104.16.25.46","192.168.0.183","QUIC","65","Protected Payload (KP0)"
"72","1.708983","192.168.0.183","104.16.25.46","QUIC","85","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"73","1.709056","192.168.0.183","104.16.25.46","QUIC","85","Protected Payload (KP0), DCID=0149da7024dc0778534979703ddc03c64e180705"
"74","1.847387","104.16.25.46","192.168.0.183","QUIC","1242","Protected Payload (KP0)"
