"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.244.42.65","TLSv1.2","259","Application Data"
"2","0.000088","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=206 Ack=1 Win=1040 Len=1360 [TCP segment of a reassembled PDU]"
"3","0.000088","192.168.0.183","104.244.42.65","TLSv1.2","540","Application Data"
"4","0.037058","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=1 Ack=1566 Win=7928 Len=0"
"5","0.065543","104.244.42.65","192.168.0.183","TLSv1.2","184","Application Data"
"6","0.111853","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=2052 Ack=131 Win=1040 Len=0"
"7","0.645778","192.168.0.183","104.244.42.65","TLSv1.2","356","Application Data"
"8","0.724641","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=131 Ack=2354 Win=7930 Len=0"
"9","1.011632","104.244.42.65","192.168.0.183","TLSv1.2","211","Application Data"
"10","1.059083","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=2354 Ack=288 Win=1039 Len=0"
"11","1.595612","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=2354 Ack=288 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"12","1.595612","192.168.0.183","104.244.42.65","TLSv1.2","857","Application Data"
"13","1.596125","192.168.0.183","104.244.42.65","TLSv1.2","237","Application Data"
"14","1.632561","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=288 Ack=4517 Win=7926 Len=0"
"15","1.640338","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=288 Ack=4700 Win=7930 Len=0"
"16","2.088799","104.244.42.65","192.168.0.183","TLSv1.2","175","Application Data"
"17","2.132146","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=4700 Ack=409 Win=1039 Len=0"
"18","2.461966","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=409 Ack=4700 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
