"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.244.42.65","TLSv1.2","238","Application Data"
"2","0.000090","192.168.0.183","104.244.42.65","TLSv1.2","547","Application Data"
"3","0.040504","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=1 Ack=678 Win=5734 Len=0"
"4","0.054469","104.244.42.65","192.168.0.183","TLSv1.2","184","Application Data"
"5","0.061354","192.168.0.183","104.244.42.65","TLSv1.2","255","Application Data"
"6","0.061445","192.168.0.183","104.244.42.65","TLSv1.2","393","Application Data"
"7","0.093834","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=131 Ack=1218 Win=5735 Len=0"
"8","0.108309","104.244.42.65","192.168.0.183","TLSv1.2","157","Application Data"
"9","0.149553","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=1218 Ack=234 Win=1040 Len=0"
"10","0.801470","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=1218 Ack=234 Win=1040 Len=1360 [TCP segment of a reassembled PDU]"
"11","0.801470","192.168.0.183","104.244.42.65","TLSv1.2","309","Application Data"
"12","0.802263","192.168.0.183","104.244.42.65","TLSv1.2","239","Application Data"
"13","0.839986","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=234 Ack=2833 Win=5731 Len=0"
"14","0.904277","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=234 Ack=3018 Win=5735 Len=0"
"15","1.147702","104.244.42.65","192.168.0.183","TLSv1.2","174","Application Data"
"16","1.198621","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=3018 Ack=354 Win=1040 Len=0"
"17","2.111243","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=354 Ack=3018 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"18","2.111243","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=1714 Ack=3018 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"19","2.111243","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=3074 Ack=3018 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"20","2.111243","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=4434 Ack=3018 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"21","2.111243","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=5794 Ack=3018 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"22","2.111243","104.244.42.65","192.168.0.183","TLSv1.2","437","Application Data"
"23","2.111298","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=3018 Ack=7537 Win=1041 Len=0"
"24","2.450941","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=3018 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"25","2.450941","192.168.0.183","104.244.42.65","TLSv1.2","910","Application Data"
"26","2.484274","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=7537 Ack=5234 Win=5730 Len=0"
"27","3.011542","192.168.0.183","104.244.42.65","TLSv1.2","282","Application Data"
"28","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=5462 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"29","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=6822 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"30","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=8182 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"31","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=9542 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"32","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=10902 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"33","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=12262 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"34","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=13622 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"35","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=14982 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"36","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=16342 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"37","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=17702 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"38","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=19062 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"39","3.011691","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=20422 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"40","3.011691","192.168.0.183","104.244.42.65","TLSv1.2","140","Application Data"
"41","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=21868 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"42","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=23228 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"43","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=24588 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"44","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=25948 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"45","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=27308 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"46","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=28668 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"47","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=30028 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"48","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=31388 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"49","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=32748 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"50","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=34108 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"51","3.011832","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=35468 Ack=7537 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
