"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.244.42.65","TLSv1.2","244","Application Data"
"2","0.000091","192.168.0.183","104.244.42.65","TLSv1.2","700","Application Data"
"3","0.036864","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=1 Ack=837 Win=7928 Len=0"
"4","0.066168","104.244.42.65","192.168.0.183","TLSv1.2","184","Application Data"
"5","0.097520","192.168.0.183","104.244.42.65","TLSv1.2","237","Application Data"
"6","0.097609","192.168.0.183","104.244.42.65","TLSv1.2","515","Application Data"
"7","0.136257","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=131 Ack=1481 Win=7930 Len=0"
"8","0.159031","104.244.42.65","192.168.0.183","TLSv1.2","161","Application Data"
"9","0.213260","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=1481 Ack=238 Win=1036 Len=0"
"10","0.247100","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=1481 Ack=238 Win=1036 Len=1360 [TCP segment of a reassembled PDU]"
"11","0.247100","192.168.0.183","104.244.42.65","TLSv1.2","145","Application Data"
"12","0.285451","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=238 Ack=2932 Win=7927 Len=0"
"13","0.580138","192.168.0.183","104.244.42.65","TLSv1.2","356","Application Data"
"14","0.658825","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=238 Ack=3234 Win=7930 Len=0"
"15","1.068467","104.244.42.65","192.168.0.183","TLSv1.2","188","Application Data"
"16","1.114326","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=3234 Ack=372 Win=1041 Len=0"
"17","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=372 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"18","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=1732 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"19","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=3092 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"20","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=4452 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"21","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=5812 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"22","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=7172 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"23","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=8532 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"24","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=9892 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"25","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=11252 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"26","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=12612 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"27","1.239981","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=13972 Ack=3234 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
