"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.244.42.65","TLSv1.2","311","Application Data"
"2","0.000213","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=258 Ack=1 Win=1038 Len=1360 [TCP segment of a reassembled PDU]"
"3","0.000213","192.168.0.183","104.244.42.65","TLSv1.2","164","Application Data"
"4","0.000282","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=1728 Ack=1 Win=1038 Len=1360 [TCP segment of a reassembled PDU]"
"5","0.000282","192.168.0.183","104.244.42.65","TLSv1.2","387","Application Data"
"6","0.000452","192.168.0.183","104.244.42.65","TLSv1.2","356","Application Data"
"7","0.041304","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=1 Ack=1728 Win=7926 Len=0"
"8","0.044043","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=1 Ack=3421 Win=7927 Len=0"
"9","0.056042","104.244.42.65","192.168.0.183","TLSv1.2","257","Application Data"
"10","0.107910","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=3723 Ack=204 Win=1037 Len=0"
"11","0.392254","104.244.42.65","192.168.0.183","TLSv1.2","152","Application Data"
"12","0.433040","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=3723 Ack=302 Win=1037 Len=0"
"13","1.191549","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=302 Ack=3723 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"14","1.191549","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=1662 Ack=3723 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"15","1.191549","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=3022 Ack=3723 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"16","1.191549","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=4382 Ack=3723 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"17","1.191549","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=5742 Ack=3723 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"18","1.191549","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=7102 Ack=3723 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"19","1.191549","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=8462 Ack=3723 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"20","1.191549","104.244.42.65","192.168.0.183","TLSv1.2","778","Application Data"
