"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=1 Ack=1 Win=1040 Len=1360 [TCP segment of a reassembled PDU]"
"2","0.000000","192.168.0.183","104.244.42.65","TLSv1.2","81","Application Data"
"3","0.000327","192.168.0.183","104.244.42.65","TLSv1.2","783","Application Data"
"4","0.039000","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=1 Ack=2117 Win=5729 Len=0"
"5","0.536253","104.244.42.65","192.168.0.183","TLSv1.2","213","Application Data"
"6","0.582185","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=2117 Ack=160 Win=1039 Len=0"
"7","0.705371","192.168.0.183","104.244.42.65","TLSv1.2","235","Application Data"
"8","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=2298 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"9","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=3658 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"10","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=5018 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"11","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=6378 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"12","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=7738 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"13","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=9098 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"14","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=10458 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"15","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=11818 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"16","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=13178 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"17","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=14538 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
"18","0.705563","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=15898 Ack=160 Win=1039 Len=1360 [TCP segment of a reassembled PDU]"
