"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.244.42.65","TLSv1.2","235","Application Data"
"2","0.000062","192.168.0.183","104.244.42.65","TLSv1.2","93","Application Data"
"3","0.000121","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=221 Ack=1 Win=1038 Len=1360 [TCP segment of a reassembled PDU]"
"4","0.000121","192.168.0.183","104.244.42.65","TLSv1.2","1287","Application Data"
"5","0.035724","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=1 Ack=221 Win=5735 Len=0"
"6","0.035724","104.244.42.65","192.168.0.183","TLSv1.2","93","Application Data"
"7","0.041562","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=40 Ack=2814 Win=5735 Len=0"
"8","0.064530","104.244.42.65","192.168.0.183","TLSv1.2","184","Application Data"
"9","0.064567","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=2814 Ack=170 Win=1038 Len=0"
"10","0.702994","192.168.0.183","104.244.42.65","TLSv1.2","301","Application Data"
"11","0.703189","192.168.0.183","104.244.42.65","TLSv1.2","659","Application Data"
"12","0.750594","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=170 Ack=3666 Win=5735 Len=0"
"13","0.770136","104.244.42.65","192.168.0.183","TLSv1.2","155","Application Data"
"14","0.816609","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=3666 Ack=271 Win=1037 Len=0"
"15","1.232013","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=3666 Ack=271 Win=1037 Len=1360 [TCP segment of a reassembled PDU]"
"16","1.232013","192.168.0.183","104.244.42.65","TLSv1.2","294","Application Data"
"17","1.272511","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=271 Ack=5266 Win=5731 Len=0"
"18","2.025905","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=271 Ack=5266 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"19","2.025905","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=1631 Ack=5266 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"20","2.025905","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=2991 Ack=5266 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"21","2.025905","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=4351 Ack=5266 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"22","2.025905","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=5711 Ack=5266 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"23","2.025905","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=7071 Ack=5266 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"24","2.025905","104.244.42.65","192.168.0.183","TLSv1.2","702","Application Data"
"25","2.025964","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=5266 Ack=9079 Win=1041 Len=0"
"26","2.026651","192.168.0.183","104.244.42.65","TLSv1.2","89","Application Data"
"27","2.113039","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=9079 Ack=5301 Win=5735 Len=0"
"28","2.429696","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=5301 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"29","2.429696","192.168.0.183","104.244.42.65","TLSv1.2","386","Application Data"
"30","2.467805","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=9079 Ack=6993 Win=5731 Len=0"
"31","3.006418","192.168.0.183","104.244.42.65","TLSv1.2","686","Application Data"
"32","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=7625 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"33","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=8985 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"34","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=10345 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"35","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=11705 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"36","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=13065 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"37","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=14425 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"38","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=15785 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"39","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=17145 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"40","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=18505 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"41","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=19865 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"42","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=21225 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"43","3.006559","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=22585 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"44","3.006559","192.168.0.183","104.244.42.65","TLSv1.2","140","Application Data"
"45","3.006704","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=24031 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"46","3.006704","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=25391 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"47","3.006704","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=26751 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"48","3.006704","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=28111 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"49","3.006704","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=29471 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"50","3.006704","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=30831 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"51","3.006704","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=32191 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"52","3.006704","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=33551 Ack=9079 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"53","3.006704","192.168.0.183","104.244.42.65","TLSv1.2","94","Application Data"
"54","3.045447","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=9079 Ack=10345 Win=5732 Len=0"
"55","3.049770","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=9079 Ack=34951 Win=5706 Len=0"
"56","3.107185","104.244.42.65","192.168.0.183","TLSv1.2","220","Application Data"
"57","3.153490","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=34951 Ack=9245 Win=1040 Len=0"
"58","3.221633","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=9245 Ack=34951 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"59","3.221633","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=10605 Ack=34951 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"60","3.221633","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=11965 Ack=34951 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"61","3.221633","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=13325 Ack=34951 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"62","3.221633","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=14685 Ack=34951 Win=5735 Len=1360 [TCP segment of a reassembled PDU]"
"63","3.221633","104.244.42.65","192.168.0.183","TLSv1.2","244","Application Data"
"64","3.221756","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=34951 Ack=16235 Win=1041 Len=0"
"65","6.277485","192.168.0.183","104.244.42.65","TLSv1.2","693","Application Data"
"66","6.277603","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=35590 Ack=16235 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"67","6.277603","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=36950 Ack=16235 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"68","6.277603","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=38310 Ack=16235 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
"69","6.277603","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=39670 Ack=16235 Win=1041 Len=1360 [TCP segment of a reassembled PDU]"
